"trainer/global_step","TDDS keep 30% samples - _step","TDDS keep 30% samples - _step__MIN","TDDS keep 30% samples - _step__MAX","TDDS keep 30% samples - val_loss","TDDS keep 30% samples - val_loss__MIN","TDDS keep 30% samples - val_loss__MAX","Random pruning keep 30% samples - _step","Random pruning keep 30% samples - _step__MIN","Random pruning keep 30% samples - _step__MAX","Random pruning keep 30% samples - val_loss","Random pruning keep 30% samples - val_loss__MIN","Random pruning keep 30% samples - val_loss__MAX","No pruning - _step","No pruning - _step__MIN","No pruning - _step__MAX","No pruning - val_loss","No pruning - val_loss__MIN","No pruning - val_loss__MAX","seed3_50%_normal_test_loss - _step","seed3_50%_normal_test_loss - _step__MIN","seed3_50%_normal_test_loss - _step__MAX","seed3_50%_normal_test_loss - val_loss","seed3_50%_normal_test_loss - val_loss__MIN","seed3_50%_normal_test_loss - val_loss__MAX","seed3_70%_normal_test_loss - _step","seed3_70%_normal_test_loss - _step__MIN","seed3_70%_normal_test_loss - _step__MAX","seed3_70%_normal_test_loss - val_loss","seed3_70%_normal_test_loss - val_loss__MIN","seed3_70%_normal_test_loss - val_loss__MAX"
"4382","44","44","44","0.22550635039806366","0.22550635039806366","0.22550635039806366","44","44","44","0.23153136670589447","0.23153136670589447","0.23153136670589447","","","","","","","","","","","","","","","","","",""
"7303","","","","","","","","","","","","","","","","","","","74","74","74","0.18128204345703125","0.18128204345703125","0.18128204345703125","","","","","",""
"8765","90","90","90","0.1573714017868042","0.1573714017868042","0.1573714017868042","90","90","90","0.16162873804569244","0.16162873804569244","0.16162873804569244","","","","","","","","","","","","","","","","","",""
"10225","","","","","","","","","","","","","","","","","","","","","","","","","103","103","103","0.15660248696804047","0.15660248696804047","0.15660248696804047"
"13148","136","136","136","0.1356082707643509","0.1356082707643509","0.1356082707643509","136","136","136","0.13728097081184387","0.13728097081184387","0.13728097081184387","","","","","","","","","","","","","","","","","",""
"14607","","","","","","","","","","","","","146","146","146","0.12906771898269653","0.12906771898269653","0.12906771898269653","149","149","149","0.13124124705791473","0.13124124705791473","0.13124124705791473","","","","","",""
"17531","182","182","182","0.12268847227096558","0.12268847227096558","0.12268847227096558","182","182","182","0.12040571868419647","0.12040571868419647","0.12040571868419647","","","","","","","","","","","","","","","","","",""
"20451","","","","","","","","","","","","","","","","","","","","","","","","","207","207","207","0.11360102891921997","0.11360102891921997","0.11360102891921997"
"21911","","","","","","","","","","","","","","","","","","","224","224","224","0.1221381425857544","0.1221381425857544","0.1221381425857544","","","","","",""
"21914","228","228","228","0.11377900838851929","0.11377900838851929","0.11377900838851929","228","228","228","0.11655350774526596","0.11655350774526596","0.11655350774526596","","","","","","","","","","","","","","","","","",""
