nohup: ignoring input
We will use these GPUs: 0 1 2 3
Number of GPUs: 4
===== Starting All Tasks with Balanced GPU Allocation =====
Total tasks: 80
-----------------------------------------------------------
分配任务: method=-1, subset_rate=0.3, seed=52, cost=0.7 -> GPU=0 (负载=.7), epochs=285
分配任务: method=-1, subset_rate=0.3, seed=53, cost=0.7 -> GPU=1 (负载=.7), epochs=285
分配任务: method=-1, subset_rate=0.3, seed=54, cost=0.7 -> GPU=2 (负载=.7), epochs=285
分配任务: method=-1, subset_rate=0.3, seed=55, cost=0.7 -> GPU=3 (负载=.7), epochs=285
分配任务: method=2, subset_rate=0.3, seed=52, cost=0.7 -> GPU=0 (负载=1.4), epochs=285
分配任务: method=2, subset_rate=0.3, seed=53, cost=0.7 -> GPU=1 (负载=1.4), epochs=285
分配任务: method=2, subset_rate=0.3, seed=54, cost=0.7 -> GPU=2 (负载=1.4), epochs=285
分配任务: method=2, subset_rate=0.3, seed=55, cost=0.7 -> GPU=3 (负载=1.4), epochs=285
分配任务: method=3, subset_rate=0.3, seed=52, cost=0.7 -> GPU=0 (负载=2.1), epochs=285
分配任务: method=3, subset_rate=0.3, seed=53, cost=0.7 -> GPU=1 (负载=2.1), epochs=285
分配任务: method=3, subset_rate=0.3, seed=54, cost=0.7 -> GPU=2 (负载=2.1), epochs=285
分配任务: method=3, subset_rate=0.3, seed=55, cost=0.7 -> GPU=3 (负载=2.1), epochs=285
分配任务: method=4, subset_rate=0.3, seed=52, cost=0.7 -> GPU=0 (负载=2.8), epochs=285
分配任务: method=4, subset_rate=0.3, seed=53, cost=0.7 -> GPU=1 (负载=2.8), epochs=285
分配任务: method=4, subset_rate=0.3, seed=54, cost=0.7 -> GPU=2 (负载=2.8), epochs=285
分配任务: method=4, subset_rate=0.3, seed=55, cost=0.7 -> GPU=3 (负载=2.8), epochs=285
分配任务: method=5, subset_rate=0.3, seed=52, cost=0.7 -> GPU=0 (负载=3.5), epochs=285
分配任务: method=5, subset_rate=0.3, seed=53, cost=0.7 -> GPU=1 (负载=3.5), epochs=285
分配任务: method=5, subset_rate=0.3, seed=54, cost=0.7 -> GPU=2 (负载=3.5), epochs=285
分配任务: method=5, subset_rate=0.3, seed=55, cost=0.7 -> GPU=3 (负载=3.5), epochs=285
分配任务: method=-1, subset_rate=0.5, seed=52, cost=0.5 -> GPU=0 (负载=4.0), epochs=400
分配任务: method=-1, subset_rate=0.5, seed=53, cost=0.5 -> GPU=1 (负载=4.0), epochs=400
分配任务: method=-1, subset_rate=0.5, seed=54, cost=0.5 -> GPU=2 (负载=4.0), epochs=400
分配任务: method=-1, subset_rate=0.5, seed=55, cost=0.5 -> GPU=3 (负载=4.0), epochs=400
分配任务: method=2, subset_rate=0.5, seed=52, cost=0.5 -> GPU=0 (负载=4.5), epochs=400
分配任务: method=2, subset_rate=0.5, seed=53, cost=0.5 -> GPU=1 (负载=4.5), epochs=400
分配任务: method=2, subset_rate=0.5, seed=54, cost=0.5 -> GPU=2 (负载=4.5), epochs=400
分配任务: method=2, subset_rate=0.5, seed=55, cost=0.5 -> GPU=3 (负载=4.5), epochs=400
分配任务: method=3, subset_rate=0.5, seed=52, cost=0.5 -> GPU=0 (负载=5.0), epochs=400
分配任务: method=3, subset_rate=0.5, seed=53, cost=0.5 -> GPU=1 (负载=5.0), epochs=400
分配任务: method=3, subset_rate=0.5, seed=54, cost=0.5 -> GPU=2 (负载=5.0), epochs=400
分配任务: method=3, subset_rate=0.5, seed=55, cost=0.5 -> GPU=3 (负载=5.0), epochs=400
分配任务: method=4, subset_rate=0.5, seed=52, cost=0.5 -> GPU=0 (负载=5.5), epochs=400
分配任务: method=4, subset_rate=0.5, seed=53, cost=0.5 -> GPU=1 (负载=5.5), epochs=400
分配任务: method=4, subset_rate=0.5, seed=54, cost=0.5 -> GPU=2 (负载=5.5), epochs=400
分配任务: method=4, subset_rate=0.5, seed=55, cost=0.5 -> GPU=3 (负载=5.5), epochs=400
分配任务: method=5, subset_rate=0.5, seed=52, cost=0.5 -> GPU=0 (负载=6.0), epochs=400
分配任务: method=5, subset_rate=0.5, seed=53, cost=0.5 -> GPU=1 (负载=6.0), epochs=400
分配任务: method=5, subset_rate=0.5, seed=54, cost=0.5 -> GPU=2 (负载=6.0), epochs=400
分配任务: method=5, subset_rate=0.5, seed=55, cost=0.5 -> GPU=3 (负载=6.0), epochs=400
分配任务: method=-1, subset_rate=0.7, seed=52, cost=0.3 -> GPU=0 (负载=6.3), epochs=666
分配任务: method=-1, subset_rate=0.7, seed=53, cost=0.3 -> GPU=1 (负载=6.3), epochs=666
分配任务: method=-1, subset_rate=0.7, seed=54, cost=0.3 -> GPU=2 (负载=6.3), epochs=666
分配任务: method=-1, subset_rate=0.7, seed=55, cost=0.3 -> GPU=3 (负载=6.3), epochs=666
分配任务: method=2, subset_rate=0.7, seed=52, cost=0.3 -> GPU=0 (负载=6.6), epochs=666
分配任务: method=2, subset_rate=0.7, seed=53, cost=0.3 -> GPU=1 (负载=6.6), epochs=666
分配任务: method=2, subset_rate=0.7, seed=54, cost=0.3 -> GPU=2 (负载=6.6), epochs=666
分配任务: method=2, subset_rate=0.7, seed=55, cost=0.3 -> GPU=3 (负载=6.6), epochs=666
分配任务: method=3, subset_rate=0.7, seed=52, cost=0.3 -> GPU=0 (负载=6.9), epochs=666
分配任务: method=3, subset_rate=0.7, seed=53, cost=0.3 -> GPU=1 (负载=6.9), epochs=666
分配任务: method=3, subset_rate=0.7, seed=54, cost=0.3 -> GPU=2 (负载=6.9), epochs=666
分配任务: method=3, subset_rate=0.7, seed=55, cost=0.3 -> GPU=3 (负载=6.9), epochs=666
分配任务: method=4, subset_rate=0.7, seed=52, cost=0.3 -> GPU=0 (负载=7.2), epochs=666
分配任务: method=4, subset_rate=0.7, seed=53, cost=0.3 -> GPU=1 (负载=7.2), epochs=666
分配任务: method=4, subset_rate=0.7, seed=54, cost=0.3 -> GPU=2 (负载=7.2), epochs=666
分配任务: method=4, subset_rate=0.7, seed=55, cost=0.3 -> GPU=3 (负载=7.2), epochs=666
分配任务: method=5, subset_rate=0.7, seed=52, cost=0.3 -> GPU=0 (负载=7.5), epochs=666
分配任务: method=5, subset_rate=0.7, seed=53, cost=0.3 -> GPU=1 (负载=7.5), epochs=666
分配任务: method=5, subset_rate=0.7, seed=54, cost=0.3 -> GPU=2 (负载=7.5), epochs=666
分配任务: method=5, subset_rate=0.7, seed=55, cost=0.3 -> GPU=3 (负载=7.5), epochs=666
分配任务: method=-1, subset_rate=0.9, seed=52, cost=0.1 -> GPU=0 (负载=7.6), epochs=2000
分配任务: method=-1, subset_rate=0.9, seed=53, cost=0.1 -> GPU=1 (负载=7.6), epochs=2000
分配任务: method=-1, subset_rate=0.9, seed=54, cost=0.1 -> GPU=2 (负载=7.6), epochs=2000
分配任务: method=-1, subset_rate=0.9, seed=55, cost=0.1 -> GPU=3 (负载=7.6), epochs=2000
分配任务: method=2, subset_rate=0.9, seed=52, cost=0.1 -> GPU=0 (负载=7.7), epochs=2000
分配任务: method=2, subset_rate=0.9, seed=53, cost=0.1 -> GPU=1 (负载=7.7), epochs=2000
分配任务: method=2, subset_rate=0.9, seed=54, cost=0.1 -> GPU=2 (负载=7.7), epochs=2000
分配任务: method=2, subset_rate=0.9, seed=55, cost=0.1 -> GPU=3 (负载=7.7), epochs=2000
分配任务: method=3, subset_rate=0.9, seed=52, cost=0.1 -> GPU=0 (负载=7.8), epochs=2000
分配任务: method=3, subset_rate=0.9, seed=53, cost=0.1 -> GPU=1 (负载=7.8), epochs=2000
分配任务: method=3, subset_rate=0.9, seed=54, cost=0.1 -> GPU=2 (负载=7.8), epochs=2000
分配任务: method=3, subset_rate=0.9, seed=55, cost=0.1 -> GPU=3 (负载=7.8), epochs=2000
分配任务: method=4, subset_rate=0.9, seed=52, cost=0.1 -> GPU=0 (负载=7.9), epochs=2000
分配任务: method=4, subset_rate=0.9, seed=53, cost=0.1 -> GPU=1 (负载=7.9), epochs=2000
分配任务: method=4, subset_rate=0.9, seed=54, cost=0.1 -> GPU=2 (负载=7.9), epochs=2000
分配任务: method=4, subset_rate=0.9, seed=55, cost=0.1 -> GPU=3 (负载=7.9), epochs=2000
分配任务: method=5, subset_rate=0.9, seed=52, cost=0.1 -> GPU=0 (负载=8.0), epochs=2000
分配任务: method=5, subset_rate=0.9, seed=53, cost=0.1 -> GPU=1 (负载=8.0), epochs=2000
分配任务: method=5, subset_rate=0.9, seed=54, cost=0.1 -> GPU=2 (负载=8.0), epochs=2000
分配任务: method=5, subset_rate=0.9, seed=55, cost=0.1 -> GPU=3 (负载=8.0), epochs=2000
All tasks have been submitted and completed.
