"iteration","pruning_methods: -1 - _step","pruning_methods: -1 - _step__MIN","pruning_methods: -1 - _step__MAX","pruning_methods: -1 - val_acc","pruning_methods: -1 - val_acc__MIN","pruning_methods: -1 - val_acc__MAX","pruning_methods: 5 - _step","pruning_methods: 5 - _step__MIN","pruning_methods: 5 - _step__MAX","pruning_methods: 5 - val_acc","pruning_methods: 5 - val_acc__MIN","pruning_methods: 5 - val_acc__MAX","pruning_methods: 4 - _step","pruning_methods: 4 - _step__MIN","pruning_methods: 4 - _step__MAX","pruning_methods: 4 - val_acc","pruning_methods: 4 - val_acc__MIN","pruning_methods: 4 - val_acc__MAX"
"0","0","0","0","10.379000000000001","2","19.58","0","0","0","8.525","1.84","14.33","0","0","0","6.109374999999999","1.33","11.17"
"40","1","1","1","2.6875","1.49","3.88","1","1","1","4.4675","4.35","4.65","1","1","1","2.8049999999999997","2.24","3.49"
"80","2","2","2","3.5675","3.27","4.09","2","2","2","4.935","2.88","6.59","2","2","2","3.31","2.41","3.83"
"118","1","1","1","10.6725","9.57","11.98","1","1","1","11.357500000000002","10.92","12.14","1","1","1","7.7575","6.86","8.59"
"120","3","3","3","4.57","3.62","6.18","3","3","3","5.9625","4.27","7.07","3","3","3","3.9775","3.58","4.37"
"160","4","4","4","5.165","4.2","6.04","4","4","4","7.3025","6.71","7.73","4","4","4","4.39","3.75","5.52"
"196","1","1","1","16.395","15.05","17.01","1","1","1","15.6775","12.57","17.94","1","1","1","10.3425","8.93","11.15"
"200","5","5","5","6.675000000000001","4.58","8.07","5","5","5","7.7575","5.42","9.07","5","5","5","4.8025","3.9","5.41"
"236","2","2","2","13.512500000000001","10.98","14.99","2","2","2","15.995000000000001","14.59","17","2","2","2","8.415","6.77","10.2"
"240","6","6","6","6.307499999999999","1.36","8.9","6","6","6","8.4925","8.14","9.21","6","6","6","5.09","4.54","5.71"
"274","1","1","1","20.855","18.49","22.55","1","1","1","21.357499999999998","19.05","23.98","1","1","1","16.2275","14.72","17.7"
"280","7","7","7","7.7775","5.89","9.55","7","7","7","9.897499999999999","8.01","11.33","7","7","7","5.4825","4.41","6.68"
"320","8","8","8","6.922499999999999","5.54","8.13","8","8","8","10.985","9.78","12.78","8","8","8","5.59","5.13","5.95"
"354","3","3","3","17.142500000000002","15.26","18.53","3","3","3","18.095","14.73","21.61","3","3","3","11.350000000000001","10.18","12.03"
"360","9","9","9","9.5575","8.37","12.86","9","9","9","11.265","9.34","13.08","9","9","9","6.075","5.58","6.73"
"391","1","1","1","27.3275","24.47","28.94","","","","","","","","","","","",""
"392","2","2","2","20.955","18.06","24.9","2","2","2","22.835","21.5","23.9","2","2","2","13.6775","10.9","16.02"
"400","10","10","10","9.889999999999999","7.29","11.8","10","10","10","12.8675","11.01","14.28","10","10","10","6.1075","5.04","7.03"
"440","11","11","11","9.4875","7.39","10.74","11","11","11","12.440000000000001","9.89","15.66","11","11","11","7.025","5.91","8.47"
"472","4","4","4","20.4625","19.37","22.1","4","4","4","20.615000000000002","17.44","22.53","4","4","4","11.175","9.16","12.54"
"480","12","12","12","9.6375","6.85","10.98","12","12","12","11.877500000000001","8.95","16.04","12","12","12","7.194999999999999","5.94","8.1"
"520","13","13","13","11.182500000000001","8.64","13.07","13","13","13","13.2775","9.21","18","13","13","13","7.63","7.17","8.2"
"548","2","2","2","26.772499999999997","23.3","29.2","2","2","2","26.54","24.09","28.89","2","2","2","20.0225","19.18","21.02"
"560","14","14","14","10.9125","8.28","14.62","14","14","14","14.274999999999999","10.79","18.94","14","14","14","7.897499999999999","7.4","8.62"
"588","3","3","3","24.622500000000002","21.93","26.28","3","3","3","25.939999999999998","19.98","30.07","3","3","3","17.5075","15.38","21.04"
"590","5","5","5","22.77","19.4","25.86","5","5","5","22.9275","22.05","23.78","5","5","5","13.695","12.85","14.91"
"600","15","15","15","11.5","9.26","14.96","15","15","15","13.200000000000001","11.42","15.08","15","15","15","7.1325","6.69","7.97"
"640","16","16","16","13.4925","10.67","15.28","16","16","16","15.395","9","18.45","16","16","16","8.2","7.17","9.04"
"680","17","17","17","14.885000000000002","11.34","18.67","17","17","17","17.81","13.13","20.83","17","17","17","8.2325","6.85","9.69"
"708","6","6","6","26.705","26.01","27.71","6","6","6","24.317500000000003","22.79","26.43","6","6","6","15.9825","15.18","17.86"
"720","18","18","18","13.345","10.83","16.26","18","18","18","18.465","16.61","19.36","18","18","18","8.6775","7.55","9.24"
"760","19","19","19","14.7125","11.36","17.84","19","19","19","18.2175","14.05","22.29","19","19","19","8.4875","7.74","9.16"
"782","2","2","2","36.355000000000004","34.95","37.77","","","","","","","","","","","",""
"784","4","4","4","30.165","24.99","35.47","4","4","4","29.9625","28.14","31.94","4","4","4","20.4225","18.82","23.14"
"800","20","20","20","14.9575","13.35","17.24","20","20","20","18.64","16.65","19.58","20","20","20","8.58","6.38","10.93"
"822","3","3","3","35.1225","34.36","36.82","3","3","3","30.575","23.51","34.06","3","3","3","27.564999999999998","25.1","29.2"
"826","7","7","7","27.605","25.22","28.98","7","7","7","29.285000000000004","26.15","32.42","7","7","7","17.560000000000002","15.42","20.73"
"840","21","21","21","15.462499999999999","13.37","17.07","21","21","21","18.93","16.52","21.62","21","21","21","8.5275","7.1","10.17"
"880","22","22","22","15.965","14.14","18.89","22","22","22","19.310000000000002","16.95","22.1","22","22","22","8.99","7.3","9.77"
"920","23","23","23","16.1225","14.16","18.24","23","23","23","20.450000000000003","17.45","24.07","23","23","23","10.337500000000002","7.6","11.55"
"944","8","8","8","29.265","25.03","31.84","8","8","8","27.955","23","30.86","8","8","8","19.21","16.59","21.1"
"960","24","24","24","17.382500000000004","13.65","22.01","24","24","24","17.56","10","24.66","24","24","24","10.1025","8.3","11.34"
"980","5","5","5","34.8775","33.63","36.98","5","5","5","35.1125","31.79","36.79","5","5","5","22.904999999999998","21.2","24.49"
"1000","25","25","25","18.0425","17.31","18.8","25","25","25","20.0125","14.22","22.3","25","25","25","10.600000000000001","9.3","12.29"
"1040","26","26","26","18.447499999999998","16.39","19.77","26","26","26","21.6125","18.74","25.98","26","26","26","10.4975","8.39","11.58"
"1062","9","9","9","34.025000000000006","31.39","35.47","9","9","9","31.2525","25.28","37.47","9","9","9","20.1575","17.18","24.13"
"1080","27","27","27","18.87","17.75","20.3","27","27","27","21.4875","19.29","23.96","27","27","27","10.0425","9.61","10.66"
"1096","4","4","4","40.769999999999996","38.85","42.62","4","4","4","37.205","35.4","38.72","4","4","4","31.405","27.59","34.3"
"1120","28","28","28","18.93","17.79","19.89","28","28","28","19.387500000000003","16.17","21.67","28","28","28","12.057500000000001","10.9","12.8"
"1160","29","29","29","18.69","16.24","21.64","29","29","29","24.0325","23.61","24.41","29","29","29","11.634999999999998","11.3","12.02"
"1173","3","3","3","40.29","37.7","42.57","","","","","","","","","","","",""
"1176","6","6","6","38.489999999999995","36.35","40.86","6","6","6","37.365","35.88","37.96","6","6","6","27.759999999999998","25.79","30.06"
"1180","10","10","10","35.585","34.09","38.04","10","10","10","34.93","29.42","38.97","10","10","10","24.005000000000003","22.54","24.96"
"1200","30","30","30","20.927500000000002","18.37","23.39","30","30","30","23.4625","20.05","27.83","30","30","30","12.3225","11.32","14.1"
"1240","31","31","31","18.402500000000003","13.43","20.62","31","31","31","24.24","21.11","27.67","31","31","31","11.965","10.79","12.77"
"1280","32","32","32","18.537499999999998","15.74","23","32","32","32","25.7175","22.47","28.05","32","32","32","11.3975","9.77","12.72"
"1298","11","11","11","36.82","35.39","39.76","11","11","11","33.1","32.01","35.44","11","11","11","24.7275","22.35","27.38"
"1320","33","33","33","19.767500000000002","16.73","22.03","33","33","33","20.2075","14.91","25.36","33","33","33","11.482500000000002","9.96","12.31"
"1360","34","34","34","19.9525","18.17","21.87","34","34","34","21.9225","13.28","28.63","34","34","34","12.18","10.18","14.04"
"1370","5","5","5","42.935","40.4","45.11","5","5","5","39.9","35.27","42.55","5","5","5","37.725","37.37","37.95"
"1372","7","7","7","41.239999999999995","38.22","43.07","7","7","7","36.9075","33.34","41.54","7","7","7","29.907500000000002","26.14","32.64"
"1400","35","35","35","21.3425","20.61","22.45","35","35","35","24.599999999999998","21.59","28.34","35","35","35","12.4525","12.13","12.93"
"1416","12","12","12","36.3875","32.5","38.18","12","12","12","36.8725","34.74","38.82","12","12","12","27.1425","25.58","29.28"
"1440","36","36","36","21.577499999999997","18.91","24.22","36","36","36","24.9775","23.72","25.94","36","36","36","11.160000000000002","7.13","14.05"
"1480","37","37","37","20.88","18.39","23.1","37","37","37","22.485","16.44","27.58","37","37","37","10.34","8.03","13.11"
"1520","38","38","38","20.4075","19.31","22.43","38","38","38","25.8","21.8","29.03","38","38","38","12.3","10.65","13.13"
"1534","13","13","13","39.335","38.26","40.26","13","13","13","33.557500000000005","30.52","35.53","13","13","13","28.565","24.55","31.37"
"1560","39","39","39","20.25","15.18","23.63","39","39","39","24.405","21.61","27.64","39","39","39","11.7525","9.68","13.15"
"1564","4","4","4","47.235","45.46","49.6","","","","","","","","","","","",""
"1568","8","8","8","42.895","41.79","44.43","8","8","8","40.2825","38.35","41.75","8","8","8","32.8275","30.4","35.66"
"1600","40","40","40","20.240000000000002","17.57","22.21","40","40","40","24.7925","18.95","31.49","40","40","40","11.9625","11.71","12.25"
"1640","41","41","41","21.93","18.35","24.76","41","41","41","27.6075","24.09","31.42","41","41","41","12.9225","11.47","13.75"
"1644","6","6","6","45.405","43.6","47.31","6","6","6","43.152499999999996","39.66","47.57","6","6","6","37.34","33.96","40.63"
"1652","14","14","14","40.0125","36.17","43.18","14","14","14","39.6075","36.68","42.7","14","14","14","29.3275","28.18","30.73"
"1680","42","42","42","21.2625","17.75","23.83","42","42","42","27.615000000000002","23.84","31.29","42","42","42","11.55","9.52","13.19"
"1720","43","43","43","21.0375","18.32","23.61","43","43","43","28.275","23.15","30.3","43","43","43","11.89","10.04","13.59"
"1760","44","44","44","23.7475","19.92","25.47","44","44","44","27.145000000000003","23.21","28.56","44","44","44","11.825","9.12","13.59"
"1764","9","9","9","45.1825","43.65","46.22","9","9","9","41.205","37.45","45.02","9","9","9","34.2975","31.87","38.11"
"1770","15","15","15","41.720000000000006","40.62","42.49","15","15","15","40.2775","36.63","42.36","15","15","15","30.9375","27.71","34.19"
"1800","45","45","45","21.855","19.08","24.1","45","45","45","27.9075","23.31","31.94","45","45","45","12.0725","10.31","15.08"
"1840","46","46","46","22.314999999999998","20.27","25.88","46","46","46","25.85","21.92","28.99","46","46","46","11.875","10.32","13.66"
"1880","47","47","47","22.925","21.3","24.8","47","47","47","27.88","24.43","29.86","47","47","47","10.034999999999998","8.01","12.44"
"1888","16","16","16","41.045","35.03","43.76","16","16","16","41.644999999999996","38.83","44.73","16","16","16","31.8275","30.04","34.09"
"1918","7","7","7","47.410000000000004","43.81","49.02","7","7","7","46.6475","45.95","47.05","7","7","7","43.1875","42.83","43.5"
"1920","48","48","48","20.982499999999998","19.31","23.34","48","48","48","27.055","23.32","32.74","48","48","48","11.4175","9.65","12.85"
"1955","5","5","5","48.567499999999995","47.51","49.73","","","","","","","","","","","",""
"1960","29.5","10","49","33.817499999999995","14.02","48.31","29.5","10","49","36.857499999999995","21.86","46.32","29.5","10","49","24.601250000000004","11.04","39.67"
"2000","50","50","50","22.247500000000002","17.23","26.64","50","50","50","28.85","25.64","30.51","50","50","50","12.08","10.51","13.19"
"2006","17","17","17","41.9575","40.28","43.62","17","17","17","41.6375","33.88","45.77","17","17","17","31.905","29.52","33.78"
"2040","51","51","51","21.405","16.38","26.12","51","51","51","26.360000000000003","20.47","29.67","51","51","51","10.712499999999999","8.52","12.78"
"2080","52","52","52","21.54","14.21","26.17","52","52","52","29.759999999999998","26.5","32.56","52","52","52","11.735","10.18","13.02"
"2120","53","53","53","22.307500000000005","19.07","27.88","53","53","53","25.869999999999997","25.31","26.93","53","53","53","12.1125","9.38","14.17"
"2124","18","18","18","41.1625","37.24","43.84","18","18","18","42.49","40.81","44.57","18","18","18","33.44","31.96","36.08"
"2156","11","11","11","47.57","46.06","49.6","11","11","11","44.5775","40.44","46.98","11","11","11","39.802499999999995","37.72","43.16"
"2160","54","54","54","23.447499999999998","21.97","24.9","54","54","54","25.747500000000002","22.82","29.56","54","54","54","11.434999999999999","10.36","13.56"
"2192","8","8","8","49.31","47.73","50.79","8","8","8","46.39999999999999","42.91","48.58","8","8","8","44.445","42.25","46.46"
"2200","55","55","55","22.357499999999998","18.49","25.1","55","55","55","26.5775","22.16","30.75","55","55","55","11.355","10.81","12.54"
"2240","56","56","56","22.475","15.75","26.46","56","56","56","30.244999999999997","27.31","32.1","56","56","56","11.83","10.81","12.99"
