nohup: ignoring input
wandb: Appending key for api.wandb.ai to your netrc file: /home/zi/.netrc
Running with model.patch_size=4...
Warning: Key 'x_range' has non-serializable value '[0, 1068]', converting to string.
Warning: Key 'y_range' has non-serializable value '[0, 1068]', converting to string.
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Currently logged in as: ziyang1 (hpi-deep-learning). Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.19.0
wandb: Run data is saved locally in /home/zi/aurora/wandb/run-20241220_080314-d9f3n58u
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run test_train_bs1_wu1000_lr0.0005-5e-05_steps30000
wandb: ⭐️ View project at https://wandb.ai/hpi-deep-learning/aurora_experiments_patch_size
wandb: 🚀 View run at https://wandb.ai/hpi-deep-learning/aurora_experiments_patch_size/runs/d9f3n58u
[2024-12-20 08:03:18,629][root][INFO] - Data is loaded
[2024-12-20 08:03:18,629][root][INFO] - training_start: 2024-12-20 08:03:18

Epoch 1/165 | Global Step: 1/30000 | Batch 1/182 | Loss: 1.6817 | LR: 2.00e-07 | Steps/sec: 0.04 | ETA: 198.23 hours
Epoch 1/165 | Global Step: 2/30000 | Batch 2/182 | Loss: 1.8401 | LR: 4.00e-07 | Steps/sec: 0.07 | ETA: 111.70 hours
Epoch 1/165 | Global Step: 3/30000 | Batch 3/182 | Loss: 1.8471 | LR: 6.00e-07 | Steps/sec: 0.10 | ETA: 82.64 hours
Epoch 1/165 | Global Step: 4/30000 | Batch 4/182 | Loss: 1.7907 | LR: 8.00e-07 | Steps/sec: 0.12 | ETA: 67.95 hours
Epoch 1/165 | Global Step: 5/30000 | Batch 5/182 | Loss: 1.8441 | LR: 1.00e-06 | Steps/sec: 0.14 | ETA: 59.71 hours
Epoch 1/165 | Global Step: 6/30000 | Batch 6/182 | Loss: 1.8235 | LR: 1.20e-06 | Steps/sec: 0.16 | ETA: 53.73 hours
Epoch 1/165 | Global Step: 7/30000 | Batch 7/182 | Loss: 1.8484 | LR: 1.40e-06 | Steps/sec: 0.17 | ETA: 49.43 hours
Epoch 1/165 | Global Step: 8/30000 | Batch 8/182 | Loss: 1.5760 | LR: 1.60e-06 | Steps/sec: 0.18 | ETA: 46.21 hours
Epoch 1/165 | Global Step: 9/30000 | Batch 9/182 | Loss: 1.9233 | LR: 1.80e-06 | Steps/sec: 0.19 | ETA: 43.71 hours
Epoch 1/165 | Global Step: 10/30000 | Batch 10/182 | Loss: 1.6257 | LR: 2.00e-06 | Steps/sec: 0.20 | ETA: 41.70 hours
Epoch 1/165 | Global Step: 11/30000 | Batch 11/182 | Loss: 1.8875 | LR: 2.20e-06 | Steps/sec: 0.21 | ETA: 40.06 hours
Epoch 1/165 | Global Step: 12/30000 | Batch 12/182 | Loss: 1.7130 | LR: 2.40e-06 | Steps/sec: 0.22 | ETA: 38.70 hours
Epoch 1/165 | Global Step: 13/30000 | Batch 13/182 | Loss: 1.6830 | LR: 2.60e-06 | Steps/sec: 0.22 | ETA: 37.56 hours
Epoch 1/165 | Global Step: 14/30000 | Batch 14/182 | Loss: 1.8594 | LR: 2.80e-06 | Steps/sec: 0.23 | ETA: 36.57 hours
Epoch 1/165 | Global Step: 15/30000 | Batch 15/182 | Loss: 1.5652 | LR: 3.00e-06 | Steps/sec: 0.23 | ETA: 35.71 hours
Epoch 1/165 | Global Step: 16/30000 | Batch 16/182 | Loss: 1.8505 | LR: 3.20e-06 | Steps/sec: 0.24 | ETA: 34.96 hours
Epoch 1/165 | Global Step: 17/30000 | Batch 17/182 | Loss: 1.6723 | LR: 3.40e-06 | Steps/sec: 0.24 | ETA: 34.30 hours
Epoch 1/165 | Global Step: 18/30000 | Batch 18/182 | Loss: 1.5477 | LR: 3.60e-06 | Steps/sec: 0.25 | ETA: 33.71 hours
Epoch 1/165 | Global Step: 19/30000 | Batch 19/182 | Loss: 1.8668 | LR: 3.80e-06 | Steps/sec: 0.25 | ETA: 33.19 hours
Epoch 1/165 | Global Step: 20/30000 | Batch 20/182 | Loss: 1.6546 | LR: 4.00e-06 | Steps/sec: 0.25 | ETA: 32.72 hours
Epoch 1/165 | Global Step: 21/30000 | Batch 21/182 | Loss: 1.7869 | LR: 4.20e-06 | Steps/sec: 0.26 | ETA: 32.29 hours
Epoch 1/165 | Global Step: 22/30000 | Batch 22/182 | Loss: 1.4343 | LR: 4.40e-06 | Steps/sec: 0.26 | ETA: 31.90 hours
Epoch 1/165 | Global Step: 23/30000 | Batch 23/182 | Loss: 2.0317 | LR: 4.60e-06 | Steps/sec: 0.26 | ETA: 31.55 hours
Epoch 1/165 | Global Step: 24/30000 | Batch 24/182 | Loss: 1.7816 | LR: 4.80e-06 | Steps/sec: 0.27 | ETA: 31.22 hours
Epoch 1/165 | Global Step: 25/30000 | Batch 25/182 | Loss: 1.5998 | LR: 5.00e-06 | Steps/sec: 0.27 | ETA: 30.92 hours
Epoch 1/165 | Global Step: 26/30000 | Batch 26/182 | Loss: 1.4661 | LR: 5.20e-06 | Steps/sec: 0.27 | ETA: 30.64 hours
Epoch 1/165 | Global Step: 27/30000 | Batch 27/182 | Loss: 1.7563 | LR: 5.40e-06 | Steps/sec: 0.27 | ETA: 30.39 hours
Epoch 1/165 | Global Step: 28/30000 | Batch 28/182 | Loss: 1.6329 | LR: 5.60e-06 | Steps/sec: 0.28 | ETA: 30.15 hours
Epoch 1/165 | Global Step: 29/30000 | Batch 29/182 | Loss: 1.6863 | LR: 5.80e-06 | Steps/sec: 0.28 | ETA: 29.93 hours
Epoch 1/165 | Global Step: 30/30000 | Batch 30/182 | Loss: 1.5493 | LR: 6.00e-06 | Steps/sec: 0.28 | ETA: 29.72 hours
Epoch 1/165 | Global Step: 31/30000 | Batch 31/182 | Loss: 1.6900 | LR: 6.20e-06 | Steps/sec: 0.28 | ETA: 29.53 hours
Epoch 1/165 | Global Step: 32/30000 | Batch 32/182 | Loss: 1.6153 | LR: 6.40e-06 | Steps/sec: 0.28 | ETA: 29.35 hours
Epoch 1/165 | Global Step: 33/30000 | Batch 33/182 | Loss: 1.6148 | LR: 6.60e-06 | Steps/sec: 0.29 | ETA: 29.18 hours
Epoch 1/165 | Global Step: 34/30000 | Batch 34/182 | Loss: 1.5711 | LR: 6.80e-06 | Steps/sec: 0.29 | ETA: 29.02 hours
Epoch 1/165 | Global Step: 35/30000 | Batch 35/182 | Loss: 1.5404 | LR: 7.00e-06 | Steps/sec: 0.29 | ETA: 28.87 hours
Epoch 1/165 | Global Step: 36/30000 | Batch 36/182 | Loss: 1.6705 | LR: 7.20e-06 | Steps/sec: 0.29 | ETA: 28.73 hours
Epoch 1/165 | Global Step: 37/30000 | Batch 37/182 | Loss: 1.4020 | LR: 7.40e-06 | Steps/sec: 0.29 | ETA: 28.59 hours
Epoch 1/165 | Global Step: 38/30000 | Batch 38/182 | Loss: 1.5022 | LR: 7.60e-06 | Steps/sec: 0.29 | ETA: 28.46 hours
