nohup: ignoring input
Running with pruning_method=0, pruning_rate=0.3, metric_seed=0, wandb_name=avg_loss_each_seed, on GPU=0
Running with pruning_method=0, pruning_rate=0.3, metric_seed=1, wandb_name=avg_loss_each_seed, on GPU=1
Running with pruning_method=0, pruning_rate=0.3, metric_seed=2, wandb_name=avg_loss_each_seed, on GPU=2
Running with pruning_method=0, pruning_rate=0.3, metric_seed=3, wandb_name=avg_loss_each_seed, on GPU=3
Running with pruning_method=0, pruning_rate=0.3, metric_seed=4, wandb_name=avg_loss_each_seed, on GPU=0
Running with pruning_method=0, pruning_rate=0.3, metric_seed=5, wandb_name=avg_loss_each_seed, on GPU=1
Running with pruning_method=0, pruning_rate=0.3, metric_seed=6, wandb_name=avg_loss_each_seed, on GPU=2
Running with pruning_method=0, pruning_rate=0.3, metric_seed=7, wandb_name=avg_loss_each_seed, on GPU=3
Running with pruning_method=0, pruning_rate=0.3, metric_seed=8, wandb_name=avg_loss_each_seed, on GPU=0
Running with pruning_method=0, pruning_rate=0.3, metric_seed=9, wandb_name=avg_loss_each_seed, on GPU=1
Running with pruning_method=0, pruning_rate=0.3, metric_seed=10, wandb_name=avg_loss_each_seed, on GPU=2
Running with pruning_method=0, pruning_rate=0.3, metric_seed=11, wandb_name=avg_loss_each_seed, on GPU=3
Running with pruning_method=0, pruning_rate=0.3, metric_seed=12, wandb_name=avg_loss_each_seed, on GPU=0
Running with pruning_method=0, pruning_rate=0.3, metric_seed=13, wandb_name=avg_loss_each_seed, on GPU=1
Running with pruning_method=0, pruning_rate=0.3, metric_seed=14, wandb_name=avg_loss_each_seed, on GPU=2
Running with pruning_method=0, pruning_rate=0.3, metric_seed=15, wandb_name=avg_loss_each_seed, on GPU=3
Running with pruning_method=0, pruning_rate=0.3, metric_seed=16, wandb_name=avg_loss_each_seed, on GPU=0
Running with pruning_method=0, pruning_rate=0.3, metric_seed=17, wandb_name=avg_loss_each_seed, on GPU=1
Running with pruning_method=0, pruning_rate=0.3, metric_seed=18, wandb_name=avg_loss_each_seed, on GPU=2
Running with pruning_method=0, pruning_rate=0.3, metric_seed=19, wandb_name=avg_loss_each_seed, on GPU=3
Running with pruning_method=0, pruning_rate=0.3, metric_seed=20, wandb_name=avg_loss_each_seed, on GPU=0
Running with pruning_method=0, pruning_rate=0.3, metric_seed=21, wandb_name=avg_loss_each_seed, on GPU=1
Running with pruning_method=0, pruning_rate=0.3, metric_seed=22, wandb_name=avg_loss_each_seed, on GPU=2
Running with pruning_method=0, pruning_rate=0.3, metric_seed=23, wandb_name=avg_loss_each_seed, on GPU=3
Running with pruning_method=0, pruning_rate=0.3, metric_seed=24, wandb_name=avg_loss_each_seed, on GPU=0
Running with pruning_method=0, pruning_rate=0.3, metric_seed=25, wandb_name=avg_loss_each_seed, on GPU=1
Running with pruning_method=0, pruning_rate=0.3, metric_seed=26, wandb_name=avg_loss_each_seed, on GPU=2
Running with pruning_method=0, pruning_rate=0.3, metric_seed=27, wandb_name=avg_loss_each_seed, on GPU=3
Running with pruning_method=0, pruning_rate=0.3, metric_seed=28, wandb_name=avg_loss_each_seed, on GPU=0
Running with pruning_method=0, pruning_rate=0.3, metric_seed=29, wandb_name=avg_loss_each_seed, on GPU=1
Running with pruning_method=0, pruning_rate=0.3, metric_seed=30, wandb_name=avg_loss_each_seed, on GPU=2
Running with pruning_method=0, pruning_rate=0.3, metric_seed=31, wandb_name=avg_loss_each_seed, on GPU=3
